[19:41:45:954] [Windows] [EAC Launcher] [Info] Loaded the following settings .json file: 'E:\SteamLibrary\steamapps\common\ELDEN RING\Game\EasyAntiCheat\Settings.json'
[19:41:48:718] [Windows] [EAC Launcher] [Info] Current progress: 50 (3931552/7841688).
[19:41:48:720] [Windows] [EAC Launcher] [Info] Current progress: 52 (4111776/7841688).
[19:41:48:720] [Windows] [EAC Launcher] [Info] Current progress: 52 (4111776/7841688).
[19:41:48:724] [Windows] [EAC Launcher] [Info] Current progress: 53 (4177312/7841688).
[19:41:48:724] [Windows] [EAC Launcher] [Info] Current progress: 53 (4177312/7841688).
[19:41:48:727] [Windows] [EAC Launcher] [Info] Current progress: 53 (4210080/7841688).
[19:41:48:727] [Windows] [EAC Launcher] [Info] Current progress: 53 (4210080/7841688).
[19:41:48:731] [Windows] [EAC Launcher] [Info] Current progress: 56 (4406688/7841688).
[19:41:48:731] [Windows] [EAC Launcher] [Info] Current progress: 56 (4406688/7841688).
[19:41:48:735] [Windows] [EAC Launcher] [Info] Current progress: 57 (4472224/7841688).
[19:41:48:735] [Windows] [EAC Launcher] [Info] Current progress: 57 (4472224/7841688).
[19:41:48:740] [Windows] [EAC Launcher] [Info] Current progress: 58 (4619680/7841688).
[19:41:48:740] [Windows] [EAC Launcher] [Info] Current progress: 58 (4619680/7841688).
[19:41:48:742] [Windows] [EAC Launcher] [Info] Current progress: 60 (4750752/7841688).
[19:41:48:742] [Windows] [EAC Launcher] [Info] Current progress: 60 (4750752/7841688).
[19:41:48:742] [Windows] [EAC Launcher] [Info] Current progress: 61 (4799904/7841688).
[19:41:48:742] [Windows] [EAC Launcher] [Info] Current progress: 61 (4799904/7841688).
[19:41:48:745] [Windows] [EAC Launcher] [Info] Current progress: 63 (4947360/7841688).
[19:41:48:745] [Windows] [EAC Launcher] [Info] Current progress: 63 (4947360/7841688).
[19:41:48:747] [Windows] [EAC Launcher] [Info] Current progress: 64 (5062048/7841688).
[19:41:48:747] [Windows] [EAC Launcher] [Info] Current progress: 64 (5062048/7841688).
[19:41:48:749] [Windows] [EAC Launcher] [Info] Current progress: 64 (5078432/7841688).
[19:41:48:749] [Windows] [EAC Launcher] [Info] Current progress: 64 (5078432/7841688).
[19:41:48:749] [Windows] [EAC Launcher] [Info] Current progress: 65 (5143968/7841688).
[19:41:48:749] [Windows] [EAC Launcher] [Info] Current progress: 65 (5143968/7841688).
[19:41:48:758] [Windows] [EAC Launcher] [Info] Current progress: 67 (5275040/7841688).
[19:41:48:758] [Windows] [EAC Launcher] [Info] Current progress: 67 (5275040/7841688).
[19:41:48:767] [Windows] [EAC Launcher] [Info] Current progress: 70 (5520800/7841688).
[19:41:48:767] [Windows] [EAC Launcher] [Info] Current progress: 70 (5520800/7841688).
[19:41:48:769] [Windows] [EAC Launcher] [Info] Current progress: 71 (5569952/7841688).
[19:41:48:769] [Windows] [EAC Launcher] [Info] Current progress: 71 (5569952/7841688).
[19:41:48:772] [Windows] [EAC Launcher] [Info] Current progress: 73 (5782944/7841688).
[19:41:48:772] [Windows] [EAC Launcher] [Info] Current progress: 73 (5782944/7841688).
[19:41:48:774] [Windows] [EAC Launcher] [Info] Current progress: 74 (5848480/7841688).
[19:41:48:774] [Windows] [EAC Launcher] [Info] Current progress: 74 (5848480/7841688).
[19:41:48:778] [Windows] [EAC Launcher] [Info] Current progress: 76 (6012320/7841688).
[19:41:48:778] [Windows] [EAC Launcher] [Info] Current progress: 76 (6012320/7841688).
[19:41:48:780] [Windows] [EAC Launcher] [Info] Current progress: 78 (6159776/7841688).
[19:41:48:780] [Windows] [EAC Launcher] [Info] Current progress: 78 (6159776/7841688).
[19:41:48:783] [Windows] [EAC Launcher] [Info] Current progress: 80 (6290848/7841688).
[19:41:48:783] [Windows] [EAC Launcher] [Info] Current progress: 80 (6290848/7841688).
[19:41:48:789] [Windows] [EAC Launcher] [Info] Current progress: 81 (6356384/7841688).
[19:41:48:789] [Windows] [EAC Launcher] [Info] Current progress: 81 (6356384/7841688).
[19:41:48:794] [Windows] [EAC Launcher] [Info] Current progress: 82 (6438304/7841688).
[19:41:48:794] [Windows] [EAC Launcher] [Info] Current progress: 82 (6438304/7841688).
[19:41:48:797] [Windows] [EAC Launcher] [Info] Current progress: 84 (6618528/7841688).
[19:41:48:797] [Windows] [EAC Launcher] [Info] Current progress: 84 (6618528/7841688).
[19:41:48:799] [Windows] [EAC Launcher] [Info] Current progress: 86 (6815136/7841688).
[19:41:48:799] [Windows] [EAC Launcher] [Info] Current progress: 86 (6815136/7841688).
[19:41:48:804] [Windows] [EAC Launcher] [Info] Current progress: 87 (6880672/7841688).
[19:41:48:804] [Windows] [EAC Launcher] [Info] Current progress: 87 (6880672/7841688).
[19:41:48:814] [Windows] [EAC Launcher] [Info] Current progress: 90 (7077280/7841688).
[19:41:48:814] [Windows] [EAC Launcher] [Info] Current progress: 90 (7077280/7841688).
[19:41:48:816] [Windows] [EAC Launcher] [Info] Current progress: 91 (7175584/7841688).
[19:41:48:816] [Windows] [EAC Launcher] [Info] Current progress: 91 (7175584/7841688).
[19:41:48:819] [Windows] [EAC Launcher] [Info] Current progress: 92 (7257504/7841688).
[19:41:48:819] [Windows] [EAC Launcher] [Info] Current progress: 92 (7257504/7841688).
[19:41:48:822] [Windows] [EAC Launcher] [Info] Current progress: 93 (7355808/7841688).
[19:41:48:822] [Windows] [EAC Launcher] [Info] Current progress: 93 (7355808/7841688).
[19:41:48:824] [Windows] [EAC Launcher] [Info] Current progress: 95 (7454112/7841688).
[19:41:48:824] [Windows] [EAC Launcher] [Info] Current progress: 95 (7454112/7841688).
[19:41:48:827] [Windows] [EAC Launcher] [Info] Current progress: 97 (7634336/7841688).
[19:41:48:827] [Windows] [EAC Launcher] [Info] Current progress: 97 (7634336/7841688).
[19:41:48:829] [Windows] [EAC Launcher] [Info] Current progress: 98 (7732640/7841688).
[19:41:48:829] [Windows] [EAC Launcher] [Info] Current progress: 98 (7732640/7841688).
[19:41:48:832] [Windows] [EAC Launcher] [Info] Current progress: 100 (7841688/7841688).
[19:41:48:832] [Windows] [EAC Launcher] [Info] Current progress: 100 (7841688/7841688).
[19:41:48:832] [Windows] [EAC Launcher] [Info] Current progress: 100 (7841688/7841688).
[19:41:48:832] [Windows] [EAC Launcher] [Info] Current progress: 100 (7841688/7841688).
[19:41:48:832] [Windows] [EAC Launcher] [Info] [Connection] Connect result: No error (0) Response Code: 200 Destination IP: 108.156.172.101
[19:41:48:835] [Windows] [EAC Launcher] [Info] Current progress: 100 (1/1).
[19:41:48:871] [Windows] [EAC Launcher] [Info] Starting Wine module mapping, Wine version: 9.0.
[19:41:50:565] [Windows] [EAC Launcher] [Info] Launcher finished with: 301, 'Easy Anti-Cheat successfully loaded in-game'.
[19:41:50:565] [Windows] [EAC Launcher] [Info] Successfully initialized the Easy Anti-Cheat service, waiting for game window to become visible.
[19:41:50:565] [Windows] [EAC Launcher] [Info] Unlocking the launch lock, allowing next game to launch to take place.
[19:41:50:599] [Windows] [EAC Launcher] [Info] Downloaded 7841688 bytes in 2253 ms (3398.98 KB/s)
